father1	mother1	child1	father2	mother2	child2	count
00	00	00	00	00	01	28
00	00	00	00	01	00	62
00	00	00	00	01	01	11
00	00	00	00	11	01	1
00	00	00	01	00	00	29
00	00	00	01	00	01	4
00	00	00	01	01	00	5
00	00	00	01	01	01	1
00	00	00	11	00	01	1
00	00	00	11	11	11	2
00	00	01	00	00	00	25
00	00	01	00	00	01	30
00	00	01	00	01	00	1
00	00	01	00	01	01	7
00	00	01	01	00	00	1
00	00	01	01	00	01	1
00	00	01	01	01	01	6
00	01	00	00	00	00	38
00	01	00	00	01	00	4951
00	01	00	01	01	00	2
00	01	01	00	00	01	2
00	01	01	00	01	01	5206
00	01	01	01	01	01	2
00	11	00	00	11	00	1
00	11	00	01	00	00	1
00	11	01	00	11	01	2001
01	00	00	00	00	00	29
01	00	00	00	00	01	5
01	00	00	00	01	00	2
01	00	00	01	00	00	6187
01	00	00	01	00	01	4
01	00	00	01	01	00	4
01	00	01	00	00	01	2
01	00	01	01	00	00	4
01	00	01	01	00	01	6433
01	00	11	01	11	11	1
01	01	00	00	00	00	3
01	01	00	00	01	00	4
01	01	00	01	00	00	2
01	01	00	01	01	00	2075
01	01	00	01	01	01	1
01	01	01	00	00	00	1
01	01	01	01	00	01	1
01	01	01	01	01	01	4803
01	01	01	01	01	11	2
01	01	11	01	01	01	1
01	01	11	01	01	11	2413
01	11	01	01	11	01	1805
01	11	11	01	01	11	1
01	11	11	01	11	11	2164
11	00	01	11	00	01	1888
11	01	01	11	01	01	2303
11	01	01	11	01	11	1
11	01	11	11	01	01	1
11	01	11	11	01	11	1848
11	11	00	11	11	00	1
11	11	01	11	11	01	2
11	11	11	01	11	11	3
11	11	11	11	01	11	2
11	11	11	11	11	01	3
11	11	11	11	11	11	7176
