father1	mother1	child1	father2	mother2	child2	count
00	00	00	00	01	00	2
00	00	00	00	11	01	1
00	00	00	01	00	00	2
00	00	00	11	00	01	1
00	00	01	01	00	01	1
00	01	00	00	00	00	1
00	01	00	00	01	00	318
00	01	01	00	01	01	318
00	11	00	01	00	00	1
00	11	01	00	11	01	117
01	00	00	01	00	00	357
01	00	00	01	01	00	1
01	00	01	01	00	00	1
01	00	01	01	00	01	348
01	01	00	01	00	00	1
01	01	00	01	01	00	114
01	01	01	01	01	01	294
01	01	11	01	01	11	121
01	11	01	01	11	01	97
01	11	11	01	11	11	128
11	00	01	11	00	01	81
11	01	01	11	01	01	135
11	01	11	11	01	11	63
11	11	11	11	11	11	402
