father1	mother1	child1	father2	mother2	child2	count
00	00	00	00	01	00	2
00	00	00	00	01	01	1
00	00	00	00	11	01	1
00	00	00	01	00	00	3
00	00	00	11	00	01	1
00	00	01	00	00	01	1
00	00	01	01	00	01	1
00	01	00	00	00	00	2
00	01	00	00	01	00	543
00	01	01	00	00	01	1
00	01	01	00	01	01	543
00	11	00	00	11	00	1
00	11	00	01	00	00	1
00	11	01	00	11	01	205
01	00	00	00	00	00	2
01	00	00	01	00	00	653
01	00	00	01	00	01	1
01	00	00	01	01	00	1
01	00	01	01	00	00	2
01	00	01	01	00	01	635
01	01	00	01	00	00	2
01	01	00	01	01	00	201
01	01	01	01	01	01	508
01	01	11	01	01	11	228
01	11	01	01	11	01	181
01	11	11	01	01	11	1
01	11	11	01	11	11	247
11	00	01	11	00	01	160
11	01	01	11	01	01	239
11	01	11	11	01	01	1
11	01	11	11	01	11	172
11	11	00	11	11	00	1
11	11	01	11	11	01	1
11	11	11	01	11	11	3
11	11	11	11	01	11	1
11	11	11	11	11	01	3
11	11	11	11	11	11	955
