father1	mother1	child1	father2	mother2	child2	count
00	00	00	00	01	01	1
00	00	00	01	00	00	1
00	00	01	00	00	01	1
00	01	00	00	00	00	1
00	01	00	00	01	00	225
00	01	01	00	00	01	1
00	01	01	00	01	01	225
00	11	00	00	11	00	1
00	11	01	00	11	01	88
01	00	00	00	00	00	2
01	00	00	01	00	00	296
01	00	00	01	00	01	1
01	00	01	01	00	00	1
01	00	01	01	00	01	287
01	01	00	01	00	00	1
01	01	00	01	01	00	87
01	01	01	01	01	01	214
01	01	11	01	01	11	107
01	11	01	01	11	01	84
01	11	11	01	01	11	1
01	11	11	01	11	11	119
11	00	01	11	00	01	79
11	01	01	11	01	01	104
11	01	11	11	01	01	1
11	01	11	11	01	11	109
11	11	00	11	11	00	1
11	11	01	11	11	01	1
11	11	11	01	11	11	3
11	11	11	11	01	11	1
11	11	11	11	11	01	3
11	11	11	11	11	11	553
