father1	mother1	child1	father2	mother2	child2	count
00	00	00	00	00	01	28
00	00	00	00	01	00	60
00	00	00	00	01	01	10
00	00	00	01	00	00	26
00	00	00	01	00	01	4
00	00	00	01	01	00	5
00	00	00	01	01	01	1
00	00	00	11	11	11	2
00	00	01	00	00	00	25
00	00	01	00	00	01	29
00	00	01	00	01	00	1
00	00	01	00	01	01	7
00	00	01	01	00	00	1
00	00	01	01	01	01	6
00	01	00	00	00	00	36
00	01	00	00	01	00	4408
00	01	00	01	01	00	2
00	01	01	00	00	01	1
00	01	01	00	01	01	4663
00	01	01	01	01	01	2
00	11	01	00	11	01	1796
01	00	00	00	00	00	27
01	00	00	00	00	01	5
01	00	00	00	01	00	2
01	00	00	01	00	00	5534
01	00	00	01	00	01	3
01	00	00	01	01	00	3
01	00	01	00	00	01	2
01	00	01	01	00	00	2
01	00	01	01	00	01	5798
01	00	11	01	11	11	1
01	01	00	00	00	00	3
01	01	00	00	01	00	4
01	01	00	01	01	00	1874
01	01	00	01	01	01	1
01	01	01	00	00	00	1
01	01	01	01	00	01	1
01	01	01	01	01	01	4295
01	01	01	01	01	11	2
01	01	11	01	01	01	1
01	01	11	01	01	11	2185
01	11	01	01	11	01	1624
01	11	11	01	11	11	1917
11	00	01	11	00	01	1728
11	01	01	11	01	01	2064
11	01	01	11	01	11	1
11	01	11	11	01	11	1676
11	11	01	11	11	01	1
11	11	11	11	01	11	1
11	11	11	11	11	11	6221
