father1	mother1	child1	father2	mother2	child2	count
00	00	00	00	00	00	153284
00	00	00	00	00	01	57
00	00	00	00	00	11	23
00	00	00	00	01	00	62
00	00	00	00	01	01	0
00	00	00	00	01	11	0
00	00	00	00	11	00	30
00	00	00	00	11	01	0
00	00	00	00	11	11	0
00	00	00	01	00	00	69
00	00	00	01	00	01	0
00	00	00	01	00	11	0
00	00	00	01	01	00	1
00	00	00	01	01	01	0
00	00	00	01	01	11	0
00	00	00	01	11	00	0
00	00	00	01	11	01	0
00	00	00	01	11	11	0
00	00	00	11	00	00	30
00	00	00	11	00	01	0
00	00	00	11	00	11	0
00	00	00	11	01	00	0
00	00	00	11	01	01	0
00	00	00	11	01	11	0
00	00	00	11	11	00	0
00	00	00	11	11	01	0
00	00	00	11	11	11	0
00	00	01	00	00	00	117
00	00	01	00	00	01	196
00	00	01	00	00	11	2
00	00	01	00	01	00	0
00	00	01	00	01	01	9
00	00	01	00	01	11	0
00	00	01	00	11	00	0
00	00	01	00	11	01	0
00	00	01	00	11	11	0
00	00	01	01	00	00	1
00	00	01	01	00	01	97
00	00	01	01	00	11	0
00	00	01	01	01	00	0
00	00	01	01	01	01	0
00	00	01	01	01	11	0
00	00	01	01	11	00	0
00	00	01	01	11	01	0
00	00	01	01	11	11	0
00	00	01	11	00	00	0
00	00	01	11	00	01	34
00	00	01	11	00	11	0
00	00	01	11	01	00	0
00	00	01	11	01	01	0
00	00	01	11	01	11	0
00	00	01	11	11	00	0
00	00	01	11	11	01	0
00	00	01	11	11	11	0
00	00	11	00	00	00	70
00	00	11	00	00	01	16
00	00	11	00	00	11	67
00	00	11	00	01	00	0
00	00	11	00	01	01	0
00	00	11	00	01	11	0
00	00	11	00	11	00	0
00	00	11	00	11	01	0
00	00	11	00	11	11	0
00	00	11	01	00	00	0
00	00	11	01	00	01	2
00	00	11	01	00	11	0
00	00	11	01	01	00	0
00	00	11	01	01	01	0
00	00	11	01	01	11	0
00	00	11	01	11	00	0
00	00	11	01	11	01	0
00	00	11	01	11	11	0
00	00	11	11	00	00	0
