father1	mother1	child1	father2	mother2	child2	count
00	00	00	00	00	00	32089
00	00	00	00	00	01	4
00	00	00	00	00	11	0
00	00	00	00	01	00	4
00	00	00	00	01	01	0
00	00	00	00	01	11	0
00	00	00	00	11	00	2
00	00	00	00	11	01	0
00	00	00	00	11	11	0
00	00	00	01	00	00	7
00	00	00	01	00	01	0
00	00	00	01	00	11	0
00	00	00	01	01	00	0
00	00	00	01	01	01	0
00	00	00	01	01	11	0
00	00	00	01	11	00	0
00	00	00	01	11	01	0
00	00	00	01	11	11	0
00	00	00	11	00	00	38
00	00	00	11	00	01	0
00	00	00	11	00	11	1
00	00	00	11	01	00	0
00	00	00	11	01	01	0
00	00	00	11	01	11	0
00	00	00	11	11	00	0
00	00	00	11	11	01	0
00	00	00	11	11	11	0
00	00	01	00	00	00	9
00	00	01	00	00	01	246
00	00	01	00	00	11	0
00	00	01	00	01	00	0
00	00	01	00	01	01	11
00	00	01	00	01	11	0
00	00	01	00	11	00	0
00	00	01	00	11	01	46
00	00	01	00	11	11	0
00	00	01	01	00	00	0
00	00	01	01	00	01	28
00	00	01	01	00	11	0
00	00	01	01	01	00	0
00	00	01	01	01	01	0
00	00	01	01	01	11	0
00	00	01	01	11	00	0
00	00	01	01	11	01	0
00	00	01	01	11	11	0
00	00	01	11	00	00	0
00	00	01	11	00	01	142
00	00	01	11	00	11	0
00	00	01	11	01	00	0
00	00	01	11	01	01	0
00	00	01	11	01	11	0
00	00	01	11	11	00	0
00	00	01	11	11	01	0
00	00	01	11	11	11	0
00	00	11	00	00	00	21
00	00	11	00	00	01	0
00	00	11	00	00	11	5
00	00	11	00	01	00	0
00	00	11	00	01	01	0
00	00	11	00	01	11	0
00	00	11	00	11	00	0
00	00	11	00	11	01	0
00	00	11	00	11	11	0
00	00	11	01	00	00	0
00	00	11	01	00	01	0
00	00	11	01	00	11	0
00	00	11	01	01	00	0
00	00	11	01	01	01	0
00	00	11	01	01	11	0
00	00	11	01	11	00	0
00	00	11	01	11	01	0
00	00	11	01	11	11	0
00	00	11	11	00	00	0
00	00	11	11	00	01	0
00	00	11	11	00	11	0
00	00	11	11	01	00	0
00	00	11	11	01	01	0
00	00	11	11	01	11	0
00	00	11	11	11	00	0
00	00	11	11	11	01	0
00	00	11	11	11	11	2
00	01	00	00	00	00	9
00	01	00	00	00	01	0
00	01	00	00	00	11	0
00	01	00	00	01	00	3030
00	01	00	00	01	01	7
00	01	00	00	01	11	30
00	01	00	00	11	00	2
00	01	00	00	11	01	0
00	01	00	00	11	11	1
00	01	00	01	00	00	0
00	01	00	01	00	01	0
00	01	00	01	00	11	0
00	01	00	01	01	00	23
00	01	00	01	01	01	0
00	01	00	01	01	11	1
00	01	00	01	11	00	0
00	01	00	01	11	01	0
00	01	00	01	11	11	0
00	01	00	11	00	00	0
00	01	00	11	00	01	0
00	01	00	11	00	11	0
00	01	00	11	01	00	93
00	01	00	11	01	01	1
00	01	00	11	01	11	0
00	01	00	11	11	00	1
00	01	00	11	11	01	0
00	01	00	11	11	11	0
00	01	01	00	00	00	0
00	01	01	00	00	01	6
00	01	01	00	00	11	0
00	01	01	00	01	00	2
00	01	01	00	01	01	44967
00	01	01	00	01	11	11
00	01	01	00	11	00	0
00	01	01	00	11	01	21
00	01	01	00	11	11	0
00	01	01	01	00	00	0
00	01	01	01	00	01	0
00	01	01	01	00	11	0
00	01	01	01	01	00	0
00	01	01	01	01	01	14
00	01	01	01	01	11	0
00	01	01	01	11	00	0
00	01	01	01	11	01	0
00	01	01	01	11	11	0
00	01	01	11	00	00	0
00	01	01	11	00	01	0
00	01	01	11	00	11	0
00	01	01	11	01	00	0
00	01	01	11	01	01	65
00	01	01	11	01	11	0
00	01	01	11	11	00	0
00	01	01	11	11	01	0
00	01	01	11	11	11	0
00	01	11	00	00	00	0
00	01	11	00	00	01	0
00	01	11	00	00	11	0
00	01	11	00	01	00	33
00	01	11	00	01	01	14
00	01	11	00	01	11	107
00	01	11	00	11	00	0
00	01	11	00	11	01	0
00	01	11	00	11	11	0
00	01	11	01	00	00	0
00	01	11	01	00	01	0
00	01	11	01	00	11	0
00	01	11	01	01	00	0
00	01	11	01	01	01	0
00	01	11	01	01	11	43
00	01	11	01	11	00	0
00	01	11	01	11	01	0
00	01	11	01	11	11	0
00	01	11	11	00	00	0
00	01	11	11	00	01	0
00	01	11	11	00	11	0
00	01	11	11	01	00	0
00	01	11	11	01	01	0
00	01	11	11	01	11	198
00	01	11	11	11	00	0
00	01	11	11	11	01	0
00	01	11	11	11	11	1
00	11	00	00	00	00	20
00	11	00	00	00	01	0
00	11	00	00	00	11	0
00	11	00	00	01	00	1
00	11	00	00	01	01	0
00	11	00	00	01	11	0
00	11	00	00	11	00	7
00	11	00	00	11	01	6
00	11	00	00	11	11	18
00	11	00	01	00	00	0
00	11	00	01	00	01	0
00	11	00	01	00	11	0
00	11	00	01	01	00	0
00	11	00	01	01	01	0
00	11	00	01	01	11	0
00	11	00	01	11	00	0
00	11	00	01	11	01	0
00	11	00	01	11	11	0
00	11	00	11	00	00	0
00	11	00	11	00	01	0
00	11	00	11	00	11	0
00	11	00	11	01	00	0
00	11	00	11	01	01	0
00	11	00	11	01	11	0
00	11	00	11	11	00	0
00	11	00	11	11	01	0
00	11	00	11	11	11	0
00	11	01	00	00	00	0
00	11	01	00	00	01	33
00	11	01	00	00	11	0
00	11	01	00	01	00	0
00	11	01	00	01	01	33
00	11	01	00	01	11	0
00	11	01	00	11	00	2
00	11	01	00	11	01	24547
00	11	01	00	11	11	6
00	11	01	01	00	00	0
00	11	01	01	00	01	0
00	11	01	01	00	11	0
00	11	01	01	01	00	0
00	11	01	01	01	01	0
00	11	01	01	01	11	0
00	11	01	01	11	00	0
00	11	01	01	11	01	8
00	11	01	01	11	11	0
00	11	01	11	00	00	0
00	11	01	11	00	01	0
00	11	01	11	00	11	0
00	11	01	11	01	00	0
00	11	01	11	01	01	0
00	11	01	11	01	11	0
00	11	01	11	11	00	0
00	11	01	11	11	01	28
00	11	01	11	11	11	0
00	11	11	00	00	00	0
00	11	11	00	00	01	0
00	11	11	00	00	11	0
00	11	11	00	01	00	0
00	11	11	00	01	01	0
00	11	11	00	01	11	0
00	11	11	00	11	00	10
00	11	11	00	11	01	6
00	11	11	00	11	11	10
00	11	11	01	00	00	0
00	11	11	01	00	01	0
00	11	11	01	00	11	0
00	11	11	01	01	00	0
00	11	11	01	01	01	0
00	11	11	01	01	11	0
00	11	11	01	11	00	0
00	11	11	01	11	01	0
00	11	11	01	11	11	8
00	11	11	11	00	00	0
00	11	11	11	00	01	0
00	11	11	11	00	11	0
00	11	11	11	01	00	0
00	11	11	11	01	01	0
00	11	11	11	01	11	1
00	11	11	11	11	00	0
00	11	11	11	11	01	0
00	11	11	11	11	11	21
01	00	00	00	00	00	7
01	00	00	00	00	01	0
01	00	00	00	00	11	0
01	00	00	00	01	00	0
01	00	00	00	01	01	0
01	00	00	00	01	11	0
01	00	00	00	11	00	0
01	00	00	00	11	01	0
01	00	00	00	11	11	0
01	00	00	01	00	00	56006
01	00	00	01	00	01	26
01	00	00	01	00	11	86
01	00	00	01	01	00	39
01	00	00	01	01	01	0
01	00	00	01	01	11	1
01	00	00	01	11	00	151
01	00	00	01	11	01	0
01	00	00	01	11	11	0
01	00	00	11	00	00	14
01	00	00	11	00	01	0
01	00	00	11	00	11	0
01	00	00	11	01	00	0
01	00	00	11	01	01	0
01	00	00	11	01	11	0
01	00	00	11	11	00	0
01	00	00	11	11	01	0
01	00	00	11	11	11	0
01	00	01	00	00	00	0
01	00	01	00	00	01	55
01	00	01	00	00	11	0
01	00	01	00	01	00	0
01	00	01	00	01	01	0
01	00	01	00	01	11	0
01	00	01	00	11	00	0
01	00	01	00	11	01	0
01	00	01	00	11	11	0
01	00	01	01	00	00	17
01	00	01	01	00	01	73649
01	00	01	01	00	11	46
01	00	01	01	01	00	0
01	00	01	01	01	01	25
01	00	01	01	01	11	0
01	00	01	01	11	00	0
01	00	01	01	11	01	45
01	00	01	01	11	11	0
01	00	01	11	00	00	0
01	00	01	11	00	01	48
01	00	01	11	00	11	0
01	00	01	11	01	00	0
01	00	01	11	01	01	0
01	00	01	11	01	11	0
01	00	01	11	11	00	0
01	00	01	11	11	01	0
01	00	01	11	11	11	0
01	00	11	00	00	00	0
01	00	11	00	00	01	0
01	00	11	00	00	11	0
01	00	11	00	01	00	0
01	00	11	00	01	01	0
01	00	11	00	01	11	0
01	00	11	00	11	00	0
01	00	11	00	11	01	0
01	00	11	00	11	11	0
01	00	11	01	00	00	50
01	00	11	01	00	01	39
01	00	11	01	00	11	78
01	00	11	01	01	00	0
01	00	11	01	01	01	0
01	00	11	01	01	11	49
01	00	11	01	11	00	0
01	00	11	01	11	01	0
01	00	11	01	11	11	169
01	00	11	11	00	00	0
01	00	11	11	00	01	0
01	00	11	11	00	11	0
01	00	11	11	01	00	0
01	00	11	11	01	01	0
01	00	11	11	01	11	0
01	00	11	11	11	00	0
01	00	11	11	11	01	0
01	00	11	11	11	11	1
01	01	00	00	00	00	0
